iter	RMSE
140	659.7354469
141	658.8675627
142	657.7680357
143	656.6243474
144	655.5704656
145	654.4513334
146	653.4884262
147	652.6035238
148	651.8319761
149	651.0752923
150	650.2687894
151	649.3670408
152	648.336297
153	647.5898347
154	646.2653591
155	645.4283877
156	644.6490811
157	643.9699157
158	643.3603666
159	642.7722508
160	641.6793873
161	640.9702387
162	639.8207057
163	639.0072342
164	638.4260184
165	637.9538749
166	637.0535253
167	636.6508762
168	635.9757466
169	635.4997068
170	634.5840502
171	634.0478118
172	633.1652287
173	632.2913417
174	631.8240571
175	631.4342032
176	630.8097138
177	630.183185
178	629.3545904
179	628.7254579
180	627.8300186
181	627.1708571
182	626.6648518
183	626.3131886
184	625.8801454
185	625.0002551
186	624.6311404
187	624.2634959
188	623.6820246
189	623.3969842
190	622.6904256
191	622.3163379
192	621.6893331
193	621.2692922
194	620.7958518
195	620.3726331
196	619.7994573
197	619.3479032
198	619.0542229
199	618.5159223
200	618.2216795
201	617.9095272
202	617.3449358
203	616.951576
204	616.5527773
205	616.0605124
206	615.7208522
207	615.4468393
208	615.1461871
209	614.7011688
210	614.2944762
211	613.9159292
212	613.4053564
213	612.8897207
214	612.5445717
215	612.2224047
216	611.8984807
217	611.4944386
218	611.0921167
219	610.6093247
220	610.3321538
221	610.0672019
222	609.8768014
223	609.6413008
224	609.1821903
225	608.7657254
226	608.4448874
227	608.2176341
228	608.0633892
229	607.8624208
230	607.4728228
231	607.1635131
232	606.8402816
233	606.56153
234	606.3332791
235	605.9604001
236	605.8005113
237	605.548369
238	605.1862363
239	605.0496938
240	604.8781688
241	604.6135223
242	604.1944369
243	603.7051982
244	603.4650415
245	603.2466173
246	603.0621387
247	602.8458031
248	602.6971535
249	602.3326354
250	601.9827033
251	601.8333358
252	601.6525525
253	601.4154502
254	601.2697538
255	601.1278475
256	600.9127057
257	600.6752633
258	600.340807
259	599.9626644
260	599.6592632
261	599.556962
262	599.4023105
263	599.1297499
264	598.9167892
265	598.730202
266	598.4082825
267	598.2544529
268	598.0573048
269	597.9120937
270	597.7651548
271	597.6032526
272	597.2791257
273	596.9445269
274	596.8179048
275	596.7485206
276	596.6548322
277	596.4250521
278	596.2422367
279	596.0976193
280	595.9189096
281	595.7445397
282	595.5585268
283	595.2239307
284	594.9360359
285	594.7284049
286	594.6046814
287	594.4279077
288	594.0706994
289	593.955839
290	593.7813216
291	593.5873651
292	593.4541152
293	593.3004148
294	593.1684971
295	592.9496877
296	592.7387268
297	592.6005359
298	592.3956902
299	592.2660344
300	592.1464099
301	591.9686771
302	591.8690489
303	591.7740325
304	591.6467639
305	591.4916051
306	591.2629057
307	591.1108686
308	590.9032744
309	590.7244394
310	590.5925156
311	590.425173
312	590.3547583
313	590.1960052
314	590.0691322
315	589.9923821
316	589.9357861
317	589.7127354
318	589.5904839
319	589.4929897
320	589.3313187
321	589.259634
322	589.1286972
323	588.9965921
324	588.8644552
325	588.7699929
326	588.6025758
327	588.4083105
328	588.2890395
329	588.2029897
330	588.0456675
331	587.8694262
332	587.7479479
333	587.6853751
334	587.5790008
335	587.4771425
336	587.2926052
337	587.1920702
338	586.999832
339	586.8618564
340	586.7850314
341	586.6865534
342	586.5642175
343	586.4696508
344	586.3831888
345	586.2748022
346	586.2019467
347	586.0740477
348	586.0023038
349	585.9209212
350	585.8291343
351	585.7270819
352	585.6896135
353	585.568107
354	585.5015217
355	585.3337247
356	585.1573454
357	585.096919
358	585.0061041
359	584.935057
360	584.8143379
361	584.7347758
362	584.5510938
363	584.5097924
364	584.2988687
365	584.2333534
366	584.1687117
367	584.0550514
368	583.9791117
369	583.9236553
370	583.8607742
371	583.7831235
372	583.5759581
373	583.4485564
374	583.3716348
375	583.3103139
376	583.2361741
377	583.1195067
378	582.9614541
379	582.8871996
380	582.8243093
381	582.7431253
382	582.6911509
383	582.6346654
384	582.5312361
385	582.4030315
386	582.3327934
387	582.2333683
388	582.1447759
389	582.0438593
390	581.9666885
391	581.8943771
392	581.8394677
393	581.7952657
394	581.7486913
395	581.6766378
396	581.5967803
397	581.5385631
398	581.4232438
399	581.3279586
400	581.1711767
401	581.1287972
402	581.0336849
403	580.9483443
404	580.8680631
405	580.8202914
406	580.7110119
407	580.663629
408	580.5314565
409	580.4804862
410	580.3549341
411	580.2679589
412	580.2054604
413	580.1595859
414	580.066725
415	579.9262326
416	579.841007
417	579.7226941
418	579.6657853
419	579.6022058
420	579.546872
421	579.4726512
422	579.4162914
423	579.3622927
424	579.3174818
425	579.2466633
426	579.1994848
427	579.1376792
428	579.0585344
429	579.0311792
430	578.9892431
431	578.9003886
432	578.7982417
433	578.690574
434	578.6411717
435	578.568934
436	578.5155646
437	578.4814064
438	578.3758023
439	578.2915982
440	578.2389377
441	578.185646
442	578.1434119
443	578.0563498
444	577.9744964
445	577.9443159
446	577.8985837
447	577.8627194
448	577.8338451
449	577.75876
450	577.6889808
451	577.5957788
452	577.5482726
453	577.4798491
454	577.4463308
455	577.3833614
456	577.3298639
457	577.2995716
458	577.2686871
459	577.185802
460	577.1238046
461	577.0217431
462	576.9658671
463	576.9281186
464	576.881143
465	576.8523865
466	576.8048222
467	576.7344757
468	576.6361856
469	576.5855893
470	576.4937446
471	576.4310813
472	576.3937704
473	576.3533106
474	576.2547365
475	576.1972699
476	576.1379838
477	576.089505
478	576.0279639
479	575.9829861
480	575.9451629
481	575.9024573
482	575.8491434
483	575.8200484
484	575.7207375
485	575.6565267
486	575.6007044
487	575.5467419
488	575.504099
489	575.4463046
490	575.4024113
491	575.3122768
492	575.2613658
493	575.2104733
494	575.1523389
495	575.1210702
496	575.0339917
497	574.9924393
498	574.9391222
499	574.8991416
500	574.8081732
501	574.7142159
502	574.6670623
503	574.6082742
504	574.5591087
505	574.5078595
506	574.464058
507	574.4234693
508	574.3981504
509	574.3639473
510	574.309394
511	574.2258814
512	574.1847206
513	574.1617188
514	574.1262236
515	574.0860635
516	574.0418532
517	574.0062875
518	573.9835259
519	573.9350526
520	573.8713876
521	573.828458
522	573.7505274
523	573.6707452
524	573.6185963
525	573.5779877
526	573.5352667
527	573.476839
528	573.4376918
529	573.4083895
530	573.3611258
531	573.3414214
532	573.3047378
533	573.2767489
534	573.2370096
535	573.1560852
536	573.0753575
537	573.0391458
538	573.0010948
539	572.9458314
540	572.8926386
541	572.8635492
542	572.8229101
543	572.7959993
544	572.7576186
545	572.7138013
546	572.6384943
547	572.5984781
548	572.5700074
549	572.5405722
550	572.5024946
551	572.4692166
552	572.4290027
553	572.4065392
554	572.3603235
555	572.3220529
556	572.2895296
557	572.214175
558	572.1828956
559	572.1423493
560	572.0909439
561	572.0356359
562	571.9870446
563	571.9480949
564	571.9306861
565	571.8788495
566	571.8483633
567	571.8178652
568	571.7888769
569	571.7433464
570	571.6693861
571	571.6351161
572	571.600632
573	571.5745726
574	571.5360265
575	571.506874
576	571.4630249
577	571.4203457
578	571.3999475
579	571.3603272
580	571.3336863
581	571.3008384
582	571.2640447
583	571.2040593
584	571.1673314
585	571.1308766
586	571.0674731
587	571.0454836
588	571.0154226
589	570.9693935
590	570.9367655
591	570.8866959
592	570.8691092
593	570.8415544
594	570.7762398
595	570.7204085
596	570.6780806
597	570.6440566
598	570.5862988
599	570.5569092
